repeat,case_id,n_eval_points,fem_seconds,pinn_eval_seconds,speedup_fem_over_pinn_eval,top_uz_mae_pct,volume_mae_pct
0,supervised_extreme,2601,0.467135,0.002886,161.874031,5.344635,2.590392
0,mixed_midrange,2601,0.414712,0.002717,152.612621,12.745684,5.614171
1,supervised_extreme,2601,0.462824,0.002737,169.088617,5.344635,2.590392
1,mixed_midrange,2601,0.405350,0.002767,146.505241,12.745684,5.614171
2,supervised_extreme,2601,0.464623,0.002516,184.642757,5.344635,2.590392
2,mixed_midrange,2601,0.408378,0.002491,163.933195,12.745684,5.614171
3,supervised_extreme,2601,0.464652,0.002760,168.344732,5.344635,2.590392
3,mixed_midrange,2601,0.416355,0.002413,172.555686,12.745684,5.614171
4,supervised_extreme,2601,0.476759,0.005815,81.984259,5.344635,2.590392
4,mixed_midrange,2601,0.429489,0.002941,146.032783,12.745684,5.614171
5,supervised_extreme,2601,0.485823,0.002707,179.469138,5.344635,2.590392
5,mixed_midrange,2601,0.436784,0.002825,154.625282,12.745684,5.614171
6,supervised_extreme,2601,0.497522,0.002758,180.359515,5.344635,2.590392
6,mixed_midrange,2601,0.411801,0.002816,146.234011,12.745684,5.614171
7,supervised_extreme,2601,0.469587,0.002621,179.131945,5.344635,2.590392
7,mixed_midrange,2601,0.408589,0.002765,147.783102,12.745684,5.614171
8,supervised_extreme,2601,0.498241,0.001828,272.585509,5.344635,2.590392
8,mixed_midrange,2601,0.411589,0.002528,162.809502,12.745684,5.614171
9,supervised_extreme,2601,0.468554,0.002561,182.954360,5.344635,2.590392
9,mixed_midrange,2601,0.410128,0.002571,159.497594,12.745684,5.614171
10,supervised_extreme,2601,0.469695,0.002705,173.636921,5.344635,2.590392
10,mixed_midrange,2601,0.409236,0.002515,162.685851,12.745684,5.614171
11,supervised_extreme,2601,0.466954,0.002663,175.362770,5.344635,2.590392
11,mixed_midrange,2601,0.405729,0.002799,144.972324,12.745684,5.614171
12,supervised_extreme,2601,0.485235,0.002886,168.107298,5.344635,2.590392
12,mixed_midrange,2601,0.424606,0.002730,155.514348,12.745684,5.614171
13,supervised_extreme,2601,0.484061,0.002830,171.043727,5.344635,2.590392
13,mixed_midrange,2601,0.406592,0.002575,157.914976,12.745684,5.614171
14,supervised_extreme,2601,0.464176,0.002646,175.397826,5.344635,2.590392
14,mixed_midrange,2601,0.405791,0.002686,151.048128,12.745684,5.614171
15,supervised_extreme,2601,0.462666,0.002655,174.253912,5.344635,2.590392
15,mixed_midrange,2601,0.405585,0.002713,149.487712,12.745684,5.614171
16,supervised_extreme,2601,0.462212,0.002586,178.727622,5.344635,2.590392
16,mixed_midrange,2601,0.409209,0.002161,189.375710,12.745684,5.614171
17,supervised_extreme,2601,0.492153,0.002753,178.764225,5.344635,2.590392
17,mixed_midrange,2601,0.430234,0.002670,161.138705,12.745684,5.614171
18,supervised_extreme,2601,0.497612,0.002584,192.580344,5.344635,2.590392
18,mixed_midrange,2601,0.423362,0.002248,188.366649,12.745684,5.614171
19,supervised_extreme,2601,0.495606,0.002819,175.801478,5.344635,2.590392
19,mixed_midrange,2601,0.420045,0.002853,147.226920,12.745684,5.614171
20,supervised_extreme,2601,0.460668,0.002702,170.499426,5.344635,2.590392
20,mixed_midrange,2601,0.406424,0.002738,148.422464,12.745684,5.614171
21,supervised_extreme,2601,0.466926,0.002590,180.277550,5.344635,2.590392
21,mixed_midrange,2601,0.405014,0.002786,145.387638,12.745684,5.614171
22,supervised_extreme,2601,0.464340,0.002731,170.046335,5.344635,2.590392
22,mixed_midrange,2601,0.403935,0.002592,155.826472,12.745684,5.614171
