repeat,case_id,n_eval_points,fem_seconds,pinn_eval_seconds,speedup_fem_over_pinn_eval,top_uz_mae_pct,volume_mae_pct
0,one_layer_mid,2601,0.431654,0.002260,190.961983,1.721908,1.138278
0,one_layer_random_like,2601,0.465328,0.002207,210.833888,2.865557,1.507067
1,one_layer_mid,2601,0.425967,0.002678,159.071457,1.721908,1.138278
1,one_layer_random_like,2601,0.490511,0.002299,213.335255,2.865557,1.507067
2,one_layer_mid,2601,0.453702,0.002371,191.391565,1.721908,1.138278
2,one_layer_random_like,2601,0.490486,0.002257,217.361630,2.865557,1.507067
3,one_layer_mid,2601,0.450752,0.002209,204.098742,1.721908,1.138278
3,one_layer_random_like,2601,0.487374,0.002351,207.275731,2.865557,1.507067
4,one_layer_mid,2601,0.449098,0.002195,204.588939,1.721908,1.138278
4,one_layer_random_like,2601,0.495078,0.002376,208.362314,2.865557,1.507067
5,one_layer_mid,2601,0.459784,0.002303,199.627678,1.721908,1.138278
5,one_layer_random_like,2601,0.503315,0.002304,218.448619,2.865557,1.507067
6,one_layer_mid,2601,0.479707,0.002173,220.745255,1.721908,1.138278
6,one_layer_random_like,2601,0.513998,0.002211,232.503797,2.865557,1.507067
7,one_layer_mid,2601,0.480093,0.002240,214.350950,1.721908,1.138278
7,one_layer_random_like,2601,0.514354,0.002383,215.858346,2.865557,1.507067
8,one_layer_mid,2601,0.448678,0.002130,210.605675,1.721908,1.138278
8,one_layer_random_like,2601,0.495332,0.002358,210.045751,2.865557,1.507067
9,one_layer_mid,2601,0.463605,0.002315,200.271971,1.721908,1.138278
9,one_layer_random_like,2601,0.517619,0.002200,235.303596,2.865557,1.507067
10,one_layer_mid,2601,0.442405,0.002088,211.879555,1.721908,1.138278
10,one_layer_random_like,2601,0.498532,0.002246,221.939747,2.865557,1.507067
11,one_layer_mid,2601,0.443029,0.002316,191.307956,1.721908,1.138278
11,one_layer_random_like,2601,0.500086,0.002312,216.343033,2.865557,1.507067
12,one_layer_mid,2601,0.442878,0.002492,177.713759,1.721908,1.138278
12,one_layer_random_like,2601,0.493051,0.002084,236.607375,2.865557,1.507067
13,one_layer_mid,2601,0.465394,0.002125,218.983133,1.721908,1.138278
13,one_layer_random_like,2601,0.510545,0.002265,225.381401,2.865557,1.507067
14,one_layer_mid,2601,0.465838,0.002206,211.124802,1.721908,1.138278
14,one_layer_random_like,2601,0.492498,0.002249,218.989279,2.865557,1.507067
15,one_layer_mid,2601,0.448098,0.002268,197.552410,1.721908,1.138278
15,one_layer_random_like,2601,0.491990,0.002216,221.987731,2.865557,1.507067
16,one_layer_mid,2601,0.450255,0.002195,205.119971,1.721908,1.138278
16,one_layer_random_like,2601,0.486337,0.002114,230.059836,2.865557,1.507067
17,one_layer_mid,2601,0.450259,0.002295,196.177004,1.721908,1.138278
17,one_layer_random_like,2601,0.490484,0.002606,188.228520,2.865557,1.507067
18,one_layer_mid,2601,0.481562,0.002427,198.394750,1.721908,1.138278
18,one_layer_random_like,2601,0.523010,0.002342,223.337638,2.865557,1.507067
19,one_layer_mid,2601,0.468224,0.002310,202.705307,1.721908,1.138278
19,one_layer_random_like,2601,0.513084,0.002124,241.555414,2.865557,1.507067
20,one_layer_mid,2601,0.463127,0.002096,220.922452,1.721908,1.138278
20,one_layer_random_like,2601,0.486156,0.002088,232.787015,2.865557,1.507067
21,one_layer_mid,2601,0.450259,0.002203,204.419174,1.721908,1.138278
21,one_layer_random_like,2601,0.488860,0.002271,215.230449,2.865557,1.507067
22,one_layer_mid,2601,0.446870,0.002275,196.448032,1.721908,1.138278
22,one_layer_random_like,2601,0.493579,0.002306,214.010401,2.865557,1.507067
23,one_layer_mid,2601,0.440557,0.002181,202.009224,1.721908,1.138278
23,one_layer_random_like,2601,0.511521,0.002321,220.423862,2.865557,1.507067
24,one_layer_mid,2601,0.467891,0.002290,204.349156,1.721908,1.138278
24,one_layer_random_like,2601,0.508771,0.002341,217.295945,2.865557,1.507067
25,one_layer_mid,2601,0.474712,0.002425,195.761033,1.721908,1.138278
25,one_layer_random_like,2601,0.525595,0.002263,232.251449,2.865557,1.507067
26,one_layer_mid,2601,0.455873,0.002295,198.630397,1.721908,1.138278
26,one_layer_random_like,2601,0.488619,0.002138,228.513266,2.865557,1.507067
27,one_layer_mid,2601,0.446847,0.002113,211.517052,1.721908,1.138278
27,one_layer_random_like,2601,0.492194,0.001720,286.166522,2.865557,1.507067
28,one_layer_mid,2601,0.452673,0.002159,209.623491,1.721908,1.138278
28,one_layer_random_like,2601,0.495416,0.002201,225.044351,2.865557,1.507067
29,one_layer_mid,2601,0.461723,0.002557,180.539963,1.721908,1.138278
